n_genomes	n_orthogroups	sequence
1	24691.692307692305	pan
1	24691.692307692305	core
2	28629.622377622378	pan
2	20753.76223776224	core
3	30924.096811083655	pan
3	19110.306601293443	core
4	32565.038771754564	pan
4	18120.38343761502	core
5	33838.275818302136	pan
5	17416.287832603623	core
6	34874.339519141395	pan
6	16867.48821784424	core
7	35744.64013568754	pan
7	16414.863286337044	core
8	36492.593492994405	pan
8	16027.286167443588	core
9	37146.56686080656	pan
9	15686.57587157756	core
10	37726.1035025439	pan
10	15381.27274122028	core
11	38245.22911429276	pan
11	15103.720340927404	core
12	38714.34343239324	pan
12	14848.56217873956	core
13	39141.36665541127	pan
13	14611.908073381586	core
14	39532.46709610706	pan
14	14390.843751638506	core
15	39892.54090217457	pan
15	14183.12809907036	core
16	40225.53856080583	pan
16	13986.998610947709	core
17	40534.69325293224	pan
17	13801.042064806203	core
18	40822.68437243409	pan
18	13624.106011892414	core
19	41091.757062324	pan
19	13455.236649278144	core
20	41343.811208394036	pan
20	13293.634223061275	core
21	41580.46877999085	pan
21	13138.620370273413	core
22	41803.125533837585	pan
22	12989.613769837477	core
23	42012.99123643369	pan
23	12846.111690547146	core
24	42211.12132905658	pan
24	12707.675799041832	core
25	42398.44212757837	pan
25	12573.92109539442	core
26	42575.771077078156	pan
26	12444.507179315831	core
27	42743.833180921545	pan
27	12319.131277045199	core
28	42903.27443961069	pan
28	12197.522615344375	core
29	43054.67292984146	pan
29	12079.437838361544	core
30	43198.54800468801	pan
30	11964.657240710883	core
31	43335.36798541433	pan
31	11852.981645902977	core
32	43465.55663296263	pan
32	11744.22979988212	core
33	43589.49862498093	pan
33	11638.236179353808	core
34	43707.54421690438	pan
34	11534.849136879184	core
35	43820.013229241864	pan
35	11433.929321493637	core
36	43927.19847506445	pan
36	11335.348326362433	core
37	44029.3687197258	pan
37	11238.987524773067	core
38	44126.77124758496	pan
38	11144.737063339044	core
39	44219.63409684642	pan
39	11052.49498720236	core
40	44308.16801276023	pan
40	10962.166476672899	core
41	44392.568160715615	pan
41	10873.663178429331	core
42	44473.01563374209	pan
42	10786.902617348365	core
43	44549.6787832456	pan
43	10701.807677393415	core
44	44622.71439717248	pan
44	10618.306141905545	core
45	44692.26874599876	pan
45	10536.330285194612	core
46	44758.47851381831	pan
46	10455.816508600947	core
47	44821.47162921842	pan
47	10376.705015244197	core
48	44881.368008483914	pan
48	10298.939518541134	core
49	44938.28022187733	pan
49	10222.466980292815	core
50	44992.314092239096	pan
50	10147.237374741217	core
51	45043.5692338853	pan
51	10073.203475498123	core
52	45092.13953870995	pan
52	10000.320662672251	core
53	45138.11361548987	pan
53	9928.54674787807	core
54	45181.5751876161	pan
54	9857.8418151133	core
55	45222.603453813645	pan
55	9788.168075750296	core
56	45261.2734158437	pan
56	9719.489736107384	core
57	45297.65617669358	pan
57	9651.772876255493	core
58	45331.81921233784	pan
58	9584.98533887839	core
59	45363.82661978887	pan
59	9519.096627145369	core
60	45393.739343838366	pan
60	9454.077810677047	core
61	45421.615384615005	pan
61	9389.901438790617	core
62	45447.509987843834	pan
62	9326.541460303	core
63	45471.475819481864	pan
63	9263.973149250705	core
64	45493.5631262208	pan
64	9202.173035955615	core
65	45513.8198831863	pan
65	9141.118842927646	core
66	45532.29193002106	pan
66	9080.789425149513	core
67	45549.02309641412	pan
67	9021.164714336699	core
68	45564.0553180287	pan
68	8962.225666807923	core
69	45577.42874368366	pan
69	8903.954214638656	core
70	45589.181834557516	pan
70	8846.333219803351	core
71	45599.351456108074	pan
71	8789.346431041131	core
72	45607.972963333166	pan
72	8732.978443205697	core
73	45615.08027993818	pan
73	8677.21465888308	core
74	45620.70597192281	pan
74	8622.041252081252	core
75	45624.88131605237	pan
75	8567.445133813555	core
76	45627.63636363637	pan
76	8513.413919413919	core
77	45629.0	pan
77	8459.935897435897	core
78	45629.0	pan
78	8407.0	core
