n_genomes	n_kmers	sequence
1	418064044.1243526	total
1	418064044.1243526	25%
1	418064044.1243526	50%
1	418064044.1243526	75%
1	418064044.1243526	core
2	574326032.6546853	total
2	574326032.6546853	25%
2	261802055.59401983	50%
2	261802055.59401983	75%
2	261802055.5940199	core
3	673800765.6120152	total
3	673800765.6120152	25%
3	375376566.74002385	50%
3	205014800.02101785	75%
3	205014800.02101788	core
4	747309060.6121159	total
4	453275880.61171186	25%
4	297477252.8683357	50%
4	174193982.40524524	75%
4	174193982.40524524	core
5	805720921.1250156	total
5	513661618.5605218	25%
5	362697273.68849707	50%
5	253997238.9882282	75%
5	154243168.2594995	core
6	854232351.3206811	total
6	563163770.1466839	25%
6	310737231.9887965	50%
6	225627242.48794407	75%
6	139966353.41381055	core
7	895753518.8981426	total
7	605105345.8559114	25%
7	356453961.40763915	50%
7	205298265.51325598	75%
7	129077701.39723629	core
8	932083794.798602	total
8	496096620.63887393	25%
8	317576074.88375735	50%
8	189806403.7012718	75%
8	120402172.49665982	core
9	964414436.4705849	total
9	529451829.1975329	25%
9	352763903.4439772	50%
9	232947870.40602216	75%
9	113267410.2641101	core
10	993574850.7282548	total
10	559310474.5075618	25%
10	321734783.2952602	50%
10	217974172.9246907	75%
10	107257478.65843914	core
11	1020165367.380679	total
11	586325315.915447	25%
11	350334069.0210167	50%
11	205688954.07188356	75%
11	102099372.8162511	core
12	1044634154.0258859	total
12	512377662.24080044	25%
12	324527287.1654163	50%
12	195365229.69781545	75%
12	97605388.65801759	core
13	1067324339.9876665	total
13	535486082.57236856	25%
13	348614098.7629732	50%
13	224837686.2557669	75%
13	93641560.4721115	core
14	1088504218.6695495	total
14	556889155.7687207	25%
14	326530423.8381344	50%
14	214720534.8046682	75%
14	90109297.20232917	core
15	1108387336.4413366	total
15	576817076.0447011	25%
15	347332321.60604954	50%
15	205930485.38749737	75%
15	86934156.27987686	core
16	1127146277.6261811	total
16	520903882.3709177	25%
16	328036668.7862683	50%
16	198196735.5982415	75%
16	84058692.38824478	core
17	1144922378.7681139	total
17	538583849.264252	25%
17	346339860.20097727	50%
17	220547241.71211645	75%
17	81437740.70878795	core
18	1161832733.6134124	total
18	555255704.9267056	25%
18	329210024.30184865	50%
18	212918846.57260406	75%
18	79035211.71268433	core
19	1177975347.0912004	total
19	571026885.5588322	25%
19	345548437.55576694	50%
19	206079375.71884835	75%
19	76821856.03974089	core
20	1193432995.3346581	total
20	526142558.92370903	25%
20	330149536.1310564	50%
20	199899606.65447772	75%
20	74773670.1307297	core
21	1208276162.600316	total
21	540454331.000356	25%
21	344902400.90960395	50%
21	217889196.9862713	75%
21	72870735.90809438	core
22	1222565307.621416	total
22	554099677.3287408	25%
22	330918531.97455454	50%
22	211770708.79387984	75%
22	71096361.13424173	core
23	1236352634.859573	total
23	567137685.2457043	25%
23	344364918.5121646	50%
23	206174984.90856424	75%
23	69436432.26029807	core
24	1249683494.7984633	total
24	529690590.5865582	25%
24	331559380.38554096	50%
24	201030417.7435512	75%
24	67878920.16401997	core
25	1262597502.5658722	total
25	541708173.2152017	25%
25	343910640.44613075	50%
25	216079054.9734187	75%
25	66413497.693681635	core
26	1275129440.0660486	total
26	553251897.4555666	25%
26	332101495.6652926	50%
26	210973510.31010082	75%
26	65031240.18934126	core
27	1287309989.8609366	total
27	564357865.0953357	25%
27	343521548.19925076	50%
27	206239786.345069	75%
27	63724388.42063844	core
28	1299166336.949448	total
28	532256342.10761905	25%
28	332565937.0551785	50%
28	201834029.21681082	75%
28	62486159.057311036	core
29	1310722665.8483331	total
29	542611444.3358715	25%
29	343184484.25745726	50%
29	214766486.07711828	75%
29	61310591.75011721	core
30	1322000573.9708166	total
30	552612001.4056967	25%
30	332968179.4476278	50%
30	210387420.42550543	75%
30	60192424.70553908	core
31	1333019417.5493355	total
31	562281705.1814686	25%
31	342889617.5279628	50%
31	206286293.5963448	75%
31	59126992.65214801	core
32	1343796602.7890675	total
32	534200586.73731023	25%
32	333319850.35582256	50%
32	202434260.48952246	75%
32	58110142.56140007	core
33	1354347832.2440302	total
33	543296354.7873709	25%
33	342629455.23969364	50%
33	213771317.49988434	75%
33	57138163.563470684	core
34	1364687314.3479192	total
34	552116754.0478218	25%
34	333629856.48981774	50%
34	209938666.86738837	75%
34	56207728.300534576	core
35	1374827942.4438121	total
35	560678146.2798475	25%
35	342398186.9893143	50%
35	206321559.2907296	75%
35	55315843.562471256	core
36	1384781448.4221478	total
36	535725927.2783669	25%
36	333905136.24752295	50%
36	202899979.87870532	75%
36	54459808.50717362	core
37	1394558535.1090014	total
37	543835271.5408138	25%
37	342191237.66734517	50%
37	212991248.27655083	75%
37	53637179.11764395	core
38	1404168990.78308	total
38	551724587.6917366	25%
38	334151175.4169631	50%
38	209584477.3026928	75%
38	52845737.81826253	core
39	1413621788.5929956	total
39	559405615.7362089	25%
39	342004955.65430945	50%
39	206349658.3244688	75%
39	52083467.382853225	core
40	1422925173.1609168	total
40	536954832.4193859	25%
40	334372368.6878052	50%
40	203272315.54951257	75%
40	51348528.43196981	core
41	1432086736.2679791	total
41	544270952.2085459	25%
41	341836390.8811697	50%
41	212363787.95011416	75%
41	50639239.94691154	core
42	1441113483.2004507	total
42	551407322.0325503	25%
42	334572278.21033835	50%
42	209298256.19813073	75%
42	49954062.33133717	core
43	1450011891.078201	total
43	558372622.8289299	25%
43	341683133.94735706	50%
43	206373015.10443288	75%
43	49291582.63398679	core
44	1458787960.2762303	total
44	537965741.9721096	25%
44	334753821.86353016	50%
44	203577243.20741203	75%
44	48650501.61248557	core
45	1467447259.8767421	total
45	544630308.571609	25%
45	341543197.5650039	50%
45	211848562.84237412	75%
45	48029622.37195758	core
46	1475994967.9460466	total
46	551145402.1970682	25%
46	334919412.5647944	50%
46	209062557.22464114	75%
46	47427840.355885655	core
47	1484435907.3116913	total
47	557517602.8786827	25%
47	341414927.8807038	50%
47	206393117.43582997	75%
47	46844134.502371505	core
48	1492774577.4161963	total
48	538811303.4072526	25%
48	335071062.8624383	50%
48	203831933.18932384	75%
48	46277559.40828122	core
49	1501015182.7408078	total
49	544931209.6020949	25%
49	341296937.2380072	50%
49	211418306.48702985	75%
49	45727238.36795844	core
50	1509161658.223051	total
50	550925006.7427151	25%
50	335210464.5068153	50%
50	208865443.54263428	75%
50	45192357.17323689	core
51	1517217692.033118	total
51	556797789.9160309	25%
51	341188052.5603986	50%
51	206410908.09125715	75%
51	44672158.57816801	core
52	1525186746.0244064	total
52	539528242.1098974	25%
52	335339049.72067034	50%
52	204048174.55827296	75%
52	44165937.34581735	core
53	1533072074.1313238	total
53	545186071.2760022	25%
53	341087275.27373135	50%
53	211053931.14781028	75%
53	43673035.80617438	core
54	1540876738.9515498	total
54	550736215.5339055	25%
54	335458038.90296507	50%
54	208698465.75310943	75%
54	43192839.86406151	core
55	1548603626.7192051	total
55	556182696.0513941	25%
55	340993749.8633734	50%
55	206427004.3709075	75%
55	42724775.40424263	core
56	1556255460.8490841	total
56	540143013.1722006	25%
56	335568478.15106064	50%
56	204234326.24759126	75%
56	42268305.04798011	core
57	1563834814.209518	total
57	545403856.7590063	25%
57	340906738.969579	50%
57	210741671.31932035	75%
57	41822925.22128452	core
58	1571344120.2619274	total
58	550571810.7038136	25%
58	335671269.0544073	50%
58	208555472.85486025	75%
58	41388163.50021648	core
59	1578785683.1883562	total
59	555650104.8239756	25%
59	340825603.48826873	50%
59	206441823.72342217	75%
59	40963576.20297846	core
60	1586161687.1136725	total
60	540675194.6813061	25%
60	335767192.5599765	50%
60	204396480.4332298	75%
60	40548746.20229286	core
61	1593474204.5165534	total
61	545591245.3219752	25%
61	340749786.54289913	50%
61	210471347.54366127	75%
61	40143280.93479731	core
62	1600725203.9123237	total
62	550426472.7086347	25%
62	335856928.2458474	50%
62	208431879.63497066	75%
62	39746810.58698176	core
63	1607916556.8812165	total
63	555183514.3256447	25%
63	340678800.4784957	50%
63	206455656.97601536	75%
63	39358986.43960829	core
64	1615050044.507221	total
64	541139610.0789189	25%
64	335941070.0056926	50%
64	204539183.38695994	75%
64	38979479.35465248	core
65	1622127363.2854	total
65	545753346.1552197	25%
65	340612216.23578715	50%
65	210235268.51976997	75%
65	38607978.39062937	core
66	1629150130.5491433	total
66	550296231.9302123	25%
66	336020138.9040625	50%
66	208324197.52995747	75%
66	38244189.533757865	core
67	1636119889.46321	total
67	554770455.5460353	25%
67	340549654.61501867	50%
67	206468711.91662824	75%
67	37887834.533807635	core
68	1643038113.6234593	total
68	541547704.2578919	25%
68	336094593.78368294	50%
68	204665897.39963847	75%
68	37538649.83469044	core
69	1649906211.299808	total
69	545894152.8901645	25%
69	340490779.05139446	50%
69	210027513.27491063	75%
69	37196385.59092639	core
70	1656725529.3551152	total
70	550178090.1926316	25%
70	336164840.07318306	50%
70	208229724.43248424	75%
70	36860804.7620561	core
71	1663497356.8692925	total
71	554401359.4088249	25%
71	340435289.6081815	50%
71	206481139.9426617	75%
71	36531682.27789809	core
72	1670222928.4949307	total
72	541908464.7737758	25%
72	336231237.1440345	50%
72	204779305.86279196	75%
72	36208804.268282704	core
73	1676903427.5680606	total
73	546016844.7997649	25%
73	340382917.95704406	50%
73	209843448.28498793	75%
73	35891967.35154115	core
74	1683539988.9953105	total
74	550069757.4764911	25%
74	336294104.4900607	50%
74	208146334.02661872	75%
74	35580977.97660199	core
75	1690133701.9365978	total
75	554068778.4731448	25%
75	340333423.1636134	50%
75	206493052.95025185	75%
75	35275651.8140573	core
76	1696685612.3006444	total
76	542229056.24677	25%
76	336353726.9453151	50%
76	204881520.40249258	75%
76	34975813.192013234	core
77	1703196725.0689125	total
77	546123993.9077605	25%
77	340286588.1335219	50%
77	209679394.56604677	75%
77	34681294.572944164	core
78	1709668006.4620707	total
78	549969467.6700824	25%
78	336410359.1118536	50%
78	208072329.4214372	75%
78	34391936.06812934	core
79	1716100385.9617832	total
79	553766843.487632	25%
79	340242216.6029954	50%
79	206504534.50796998	75%
79	34107584.986573085	core
80	1722494758.1993957	total
80	542515268.1900033	25%
80	336464229.1346173	50%
80	204974225.0993895	75%
80	33828095.415597856	core
81	1728851984.7220588	total
81	546217712.0630968	25%
81	340200130.5806209	50%
81	209532393.16828582	75%
81	33553327.830557566	core
82	1735172895.6458163	total
82	549875848.8316679	25%
82	336515541.93388176	50%
82	208006339.41975775	75%
82	33283148.731350508	core
83	1741458291.2043972	total
83	553490878.3623292	25%
83	340160168.1646312	50%
83	206515647.58472982	75%
83	33017430.303619675	core
84	1747708943.2016056	total
84	542771837.8852109	25%
84	336564481.984706	50%
84	205058779.20564973	75%
84	32756050.102715634	core
85	1753925596.3745573	total
85	546299758.1153257	25%
85	340122181.67407477	50%
85	209400036.7990592	75%
85	32498890.758666307	core
86	1760108969.674348	total
86	549787831.0422028	25%
86	336611215.71620965	50%
86	207947243.6863072	75%
86	32245839.70055038	core
87	1766259757.4702005	total
87	553237123.4890462	25%
87	340086036.04342073	50%
87	206526440.10841948	75%
87	31996788.89880889	core
88	1772378630.6826003	total
88	543002687.2990332	25%
88	336655893.5903046	50%
88	205136291.78200957	75%
88	31751634.624154076	core
89	1778466237.8504817	total
89	546371617.4808855	25%
89	340051607.4391049	50%
89	209280346.83206093	75%
89	31510277.221847508	core
90	1784523206.1371107	total
90	549704580.0908922	25%
90	336698651.9089522	50%
90	207894117.88201207	75%
90	31272620.90022164	core
91	1790550142.278903	total
91	553002533.9546669	25%
91	340018782.0637463	50%
91	206536949.08602798	75%
91	31038573.5324118	core
92	1796547633.4811137	total
92	543211099.4279835	25%
92	336739614.3905382	50%
92	205207676.88557103	75%
92	30808046.470350035	core
93	1802516248.2639844	total
93	546434561.9034097	25%
93	339987455.1196086	50%
93	209171682.05889416	75%
93	30580954.37014862	core
94	1808456537.2626631	total
94	549625448.8475884	25%
94	336778893.54909986	50%
94	207846192.8306489	75%
94	30357215.028071195	core
95	1814369033.9839642	total
95	552784630.0012643	25%
95	339957529.90764284	50%
95	206547203.72062284	75%
95	30136749.226352677	core
96	1820254255.5227702	total
96	543399851.0745742	25%
96	336816591.9045778	50%
96	205273694.99850604	75%
96	29919480.588187423	core
97	1826112703.240703	total
97	546489694.601565	25%
97	339928917.0423369	50%
97	209072670.02411368	75%
97	29705335.44125779	core
98	1831944863.409441	total
98	549549940.7414213	25%
98	336852803.04771924	50%
98	207802823.70524004	75%
98	29494242.689223796	core
99	1837751207.8209467	total
99	552581384.2959989	25%
99	339901533.76578796	50%
99	206557227.8007882	75%
99	29286133.69063864	core
100	1843532194.366633	total
100	543571313.7501726	25%
100	336887612.5795363	50%
100	205334984.54169714	75%
100	29080942.14479542	core
101	1849288267.587403	total
101	546537984.4332517	25%
101	339875303.3470496	50%
101	208982154.68212482	75%
101	28878603.98404751	core
102	1855019859.1963305	total
102	549477681.5808098	25%
102	336921098.94215643	50%
102	207763466.47715896	75%
102	28679057.272178825	core
103	1860727388.575631	total
103	552391135.4503946	25%
103	339850154.5549747	50%
103	206567041.5494301	75%
103	28482242.10843172	core
104	1866411263.2494383	total
104	543727530.9421157	25%
104	336953334.15536135	50%
104	205392086.1299728	75%
104	28288100.536828585	core
105	1872071879.3338487	total
105	546580291.71711	25%
105	339826021.1945855	50%
105	208899156.0222337	75%
105	28096576.460449774	core
106	1877709621.9655125	total
106	549408397.2091396	25%
106	336984384.471009	50%
106	207727659.70451486	75%
106	27907615.560354505	core
107	1883324865.7100387	total
107	552212520.5381624	25%
107	339802841.6985053	50%
107	206576663.06571236	75%
107	27721165.21885385	core
108	1888917974.9513588	total
108	543870277.6596373	25%
