contig	kmers_bp	total_bp	chrom
I3.000003F	57104	17228268	EH23a.chr7
I3.000028F	35718	7539900	EH23a.chr7
I3.000012F	26501	11024346	EH23a.chr7
I3.000059F	21788	4295430	EH23a.chrX
I3.000099F	18460	2723972	EH23a.chrX
I3.000005F	18805	14883794	EH23a.chr7
I3.000069F	15967	3819776	EH23a.chrX
I3.000508F	8930	184497	EH23a.chr5
I3.000456F	8468	242108	EH23a.chr5
I3.000060F	10281	4020689	EH23a.chrX
I3.000006F	10883	12938246	EH23a.chrX
I3.000517F	7571	174533	EH23a.chrX
I3.000275F	8513	798453	EH23a.chr1
I3.000455F	7023	167246	EH23a.chrX
I3.000434F	7070	287168	EH23a.chr6
I3.000068F	8531	3905361	EH23a.chr7
I3.000148F	7996	1772554	EH23a.chrX
I3.000007F	8822	12836193	EH23a.chrX
I3.000115F	7902	2494259	EH23a.chrX
I3.000421F	6741	311906	EH23a.chr5
I3.000032F	8180	6885683	EH23a.chr7
I3.000560F	5710	78729	EH23a.chr1
I3.000131F	7144	2095034	EH23a.chr7
I3.000112F	7115	2574611	EH23a.chr5
I3.000117F	6925	2498190	EH23a.chr8
I3.000497F	5549	143745	EH23a.chr8
I3.000468F	5849	356607	EH23a.chrX
I3.000492F	5470	207252	EH23a.chr1
I3.000078F	6497	3119480	EH23a.chr6
I3.000180F	5942	1338539	EH23a.chr1
I3.000505F	5023	167668	EH23a.chr5
I3.000459F	5053	206781	EH23a.chr6
I3.000161F	5901	1626223	EH23a.chr4
I3.000387F	5200	417137	EH23a.chr4
I3.000423F	4943	228644	EH23a.chr1
I3.000440F	4800	232326	EH23a.chr6
I3.000472F	4583	209058	EH23a.chrX
I3.000316F	4960	629521	EH23a.chr8
I3.000019F	5928	9328918	EH23a.chr5
I3.000202F	5070	1212370	EH23a.chr1
I3.000348F	4765	536185	EH23a.chr6
I3.000000F	6155	26319679	EH23a.chr2
I3.000184F	4668	470978	EH23a.chr5
I3.000198F	4985	1213481	EH23a.chr6
I3.000113F	5240	2511937	EH23a.chr4
I3.000523F	4205	145464	EH23a.chr1
I3.000025F	4191	153432	EH23a.chr6
I3.000023F	5502	8383439	EH23a.chr4
I3.000570F	3877	83269	EH23a.chr9
I3.000100F	5035	2874349	EH23a.chr4
I3.000520F	4020	157871	EH23a.chr8
I3.000163F	4746	1631170	EH23a.chr1
I3.000200F	4483	1219743	EH23a.chr4
I3.000233F	4397	1051169	EH23a.chr1
