contig	kmers_bp	total_bp	chrom
I61.000011F	45358	17812240	EH23a.chrX
I61.000017F	39015	11785126	EH23a.chrX
I61.000123F	24967	2387085	EH23a.chr7
I61.000003F	25402	33450574	EH23a.chr2
I61.000048F	22233	5006784	EH23a.chr7
I61.000103F	11965	2763184	EH23a.chr7
I61.000154F	11582	1874872	EH23a.chr7
I61.000044F	10787	5266595	EH23a.chr7
I61.000104F	9849	2761691	EH23a.chr7
I61.000059F	7805	166392	EH23a.chr3
I61.000355F	7804	309624	EH23a.chr2
I61.000413F	7132	116017	EH23a.chr9
I61.000108F	8912	2669010	EH23a.chr7
I61.000185F	8396	1517150	EH23a.chr7
I61.000019F	9131	10896507	EH23a.chr7
I61.000111F	7931	2581667	EH23a.chr7
I61.000000F	9050	38573970	EH23a.chr3
I61.000373F	6399	232971	EH23a.chr9
I61.000182F	7098	1549654	EH23a.chr7
I61.000379F	5339	173425	EH23a.chr2
I61.000295F	5758	585845	EH23a.chr7
I61.000417F	5014	133315	EH23a.chr9
I61.000395F	4990	164327	EH23a.chr6
I61.000208F	5754	1339931	EH23a.chr8
I61.000387F	4694	125498	EH23a.chr4
I61.000401F	4545	153076	EH23a.chr7
I61.000429F	4459	123695	EH23a.chr6
I61.000032F	5888	6460503	EH23a.chr4
I61.000326F	4654	372021	EH23a.chr1
I61.000421F	4227	133856	EH23a.chr2
I61.000060F	5448	4458292	EH23a.chr7
I61.000184F	4933	1523492	EH23a.chr8
I61.000278F	4599	794120	EH23a.chr1
I61.000423F	4059	164249	EH23a.chr8
I61.000260F	4606	831009	EH23a.chr8
I61.000102F	4981	2790769	EH23a.chr4
I61.000435F	3867	102184	EH23a.chr2
I61.000119F	4874	2415056	EH23a.chr5
I61.000393F	3897	136250	EH23a.chr2
I61.000072F	4844	3473232	EH23a.chr1
I61.000156F	4586	1783146	EH23a.chr7
I61.000214F	4347	1297155	EH23a.chr7
I61.000231F	4287	1164381	EH23a.chr2
I61.000050F	4650	4864698	EH23a.chr1
I61.458	3525	126905	EH23a.chr6
I61.000309F	3889	494350	EH23a.chr5
I61.000338F	3724	309351	EH23a.chr2
I61.000029F	4571	6562185	EH23a.chr8
I61.000082F	4307	3247316	EH23a.chr3
I61.000327F	3660	367005	EH23a.chr2
I61.000296F	3470	197141	EH23a.chr7
I61.000045F	4332	5175131	EH23a.chrX
I61.000213F	3946	1323799	EH23a.chr5
I61.000120F	4099	2361050	EH23a.chr8
I61.000150F	4033	1878370	EH23a.chr1
I61.000166F	3994	1724878	EH23a.chr2
I61.000202F	3913	1353012	EH23a.chr1
I61.000036F	4255	5835169	EH23a.chr7
I61.000407F	3253	154927	EH23a.chr8
I61.000006F	4612	23476063	EH23a.chr9
I61.000414F	3219	144846	EH23a.chr1
I61.000133F	3887	2236809	EH23a.chr1
I61.000426F	2997	94744	EH23a.chrX
I61.000424F	3002	113189	EH23a.chr7
I61.000081F	3857	3288721	EH23a.chr1
I61.000283F	3424	678014	EH23a.chr5
I61.000347F	3155	255216	EH23a.chr2
I61.000180F	3610	1568669	EH23a.chr7
I61.000192F	3564	1506768	EH23a.chr2
I61.000028F	3901	6772781	EH23a.chr8
I61.000263F	3265	537743	EH23a.chr2
I61.000408F	2930	146843	EH23a.chr5
I61.000333F	3152	364306	EH23a.chr5
I61.000176F	2911	141240	EH23a.chr1
I61.000374F	2973	200006	EH23a.chr5
I61.000226F	3332	1230559	EH23a.chr8
I61.000085F	3535	3222891	EH23a.chr5
I61.000299F	3114	568320	EH23a.chr5
I61.000433F	2646	79871	EH23a.chrX
I61.000097F	3399	2889238	EH23a.chr5
I61.000241F	3123	1061625	EH23a.chr8
I61.000442F	2595	101765	EH23a.chr5
I61.000010F	3698	18060179	EH23a.chrX
I61.000329F	2807	340065	EH23a.chr8
I61.000171F	3123	1500211	EH23a.chr8
I61.000107F	3221	2675982	EH23a.chr5
I61.000114F	3210	2577482	EH23a.chr5
I61.000438F	2425	70367	EH23a.chrX
I61.000336F	2728	315822	EH23a.chr1
I61.000317F	2769	409558	EH23a.chr1
I61.000031F	3336	6510177	EH23a.chr1
I61.000378F	2578	188469	EH23a.chr9
I61.000201F	2980	1437826	EH23a.chr5
I61.000069F	3159	3761752	EH23a.chr8
I61.000230F	2896	1163872	EH23a.chr2
I61.000392F	2404	155230	EH23a.chr6
I61.000297F	2640	513879	EH23a.chr5
I61.000311F	2604	470181	EH23a.chr1
I61.000037F	2392	170822	EH23a.chr7
I61.000216F	2775	1297567	EH23a.chr1
I61.000143F	2865	2149141	EH23a.chr2
I61.000041F	3040	5620376	EH23a.chr3
I61.000039F	3036	5942577	EH23a.chr2
I61.000354F	2416	251752	EH23a.chr5
I61.000279F	2599	686733	EH23a.chr2
I61.000403F	2262	135818	EH23a.chr6
I61.000022F	3042	8257310	EH23a.chr6
I61.000431F	2220	113590	EH23a.chr2
I61.000074F	2847	3280043	EH23a.chr7
I61.000209F	2452	466081	EH23a.chrX
I61.000357F	2336	282538	EH23a.chr2
I61.000058F	2836	4460294	EH23a.chr2
I61.000100F	2749	2856924	EH23a.chr1
I61.000270F	2492	794856	EH23a.chr2
I61.000449F	1947	43324	EH23a.chrX
I61.000416F	2130	130431	EH23a.chr5
I61.000341F	2142	153247	EH23a.chr5
I61.000207F	2486	1343294	EH23a.chr2
I61.000298F	2325	550078	EH23a.chr5
I61.000211F	2467	1268742	EH23a.chr7
I61.000405F	2074	135911	EH23a.chr8
I61.000425F	2024	109122	EH23a.chr8
I61.000173F	2477	1670514	EH23a.chr8
I61.000218F	2407	1283788	EH23a.chr8
I61.000109F	2504	2596989	EH23a.chr5
I61.000122F	2479	2330678	EH23a.chr7
I61.000318F	2195	437388	EH23a.chr8
I61.000062F	2575	4219165	EH23a.chr1
I61.000056F	2564	4508620	EH23a.chr7
I61.000061F	2556	4328448	EH23a.chr1
I61.000139F	2418	2122487	EH23a.chr3
I61.000386F	1990	170973	EH23a.chr4
I61.000412F	1884	96820	EH23a.chr7
I61.000113F	2027	233427	EH23a.chr5
I61.000075F	2438	3296304	EH23a.chr8
I61.000014F	2663	14021245	EH23a.chr3
I61.000300F	2120	539354	EH23a.chr8
I61.000390F	1841	108334	EH23a.chr3
