contig	kmers_bp	total_bp	chrom
I75.000015F	48508	14110014	EH23a.chrX
I75.000011F	37952	15592301	EH23a.chrX
I75.000046F	20222	7404986	EH23a.chr4
I75.000004F	20539	24797094	EH23a.chrX
I75.000018F	17538	12693022	EH23a.chr6
I75.000037F	11694	8147271	EH23a.chr4
I75.000256F	7609	154047	EH23a.chrX
I75.000261F	6977	135821	EH23a.chr8
I75.000239F	6664	166608	EH23a.chr4
I75.000242F	6646	174642	EH23a.chr6
I75.000246F	5442	167809	EH23a.chr3
I75.000258F	5249	156468	EH23a.chr9
I75.000065F	6536	5039354	EH23a.chr6
I75.000257F	4958	139644	EH23a.chr4
I75.000249F	5013	165143	EH23a.chrX
I75.000218F	5175	253385	EH23a.chr4
I75.000149F	5602	1246997	EH23a.chr6
I75.000236F	4835	205041	EH23a.chr4
I75.000013F	6523	14988698	EH23a.chr5
I75.000009F	6498	16360771	EH23a.chrX
I75.000056F	6033	5588455	EH23a.chr1
I75.000274F	4357	92509	EH23a.chr1
I75.000168F	5223	956515	EH23a.chr1
I75.000143F	5120	1410377	EH23a.chr4
I75.000195F	4336	175243	EH23a.chr1
I75.000000F	6445	63675145	EH23a.chr3
I75.000194F	4700	521958	EH23a.chr1
I75.000189F	4691	544229	EH23a.chr1
I75.000050F	5564	6692548	EH23a.chr6
I75.000132F	5045	1675316	EH23a.chr5
I75.000038F	5499	8126119	EH23a.chrX
I75.000183F	4573	675525	EH23a.chr4
I75.000072F	5218	4566445	EH23a.chr4
I75.000201F	4329	408818	EH23a.chr6
I75.000131F	4774	1828145	EH23a.chr4
I75.000163F	4374	1054597	EH23a.chr5
I75.000082F	4482	1518621	EH23a.chr5
I75.000061F	4732	5220027	EH23a.chr5
I75.000262F	3593	141369	EH23a.chr4
I75.000263F	3553	133774	EH23a.chr4
I75.000045F	4760	7569183	EH23a.chr1
I75.000171F	4074	904812	EH23a.chr5
I75.000007F	5035	23521120	EH23a.chr9
I75.000271F	3422	104141	EH23a.chrX
I75.000078F	4515	4318386	EH23a.chr2
I75.000252F	3534	159832	EH23a.chr4
I75.000160F	4090	1123358	EH23a.chr1
I75.000034F	4687	8641741	EH23a.chr5
I75.000245F	3506	171493	EH23a.chr4
I75.000099F	4272	2798885	EH23a.chr8
I75.000268F	3296	116282	EH23a.chr3
I75.000244F	3260	139225	EH23a.chr2
I75.000266F	3268	144896	EH23a.chrX
I75.000081F	4160	3869418	EH23a.chr6
I75.000240F	3288	161359	EH23a.chr2
I75.000230F	3316	198572	EH23a.chrX
I75.000222F	3365	237840	EH23a.chr1
I75.000207F	3387	285614	EH23a.chr5
I75.000265F	3083	92774	EH23a.chr9
I75.000196F	3481	487979	EH23a.chr5
I75.000248F	3088	112410	EH23a.chrX
I75.000062F	3153	144644	EH23a.chrX
I75.000167F	3180	175164	EH23a.chr4
I75.000074F	4017	4491244	EH23a.chr1
I75.000278F	2875	90976	EH23a.chr1
I75.000165F	3433	999498	EH23a.chr8
I75.000088F	3688	3204808	EH23a.chr1
I75.000269F	2903	135398	EH23a.chr1
I75.000035F	3898	8785742	EH23a.chr6
I75.000010F	4048	16332045	EH23a.chr6
I75.000076F	3704	4423034	EH23a.chr1
I75.000255F	2859	155337	EH23a.chr5
I75.000113F	3512	2510135	EH23a.chr5
I75.000040F	3762	7904367	EH23a.chr8
I75.000238F	2878	192288	EH23a.chr3
I75.000146F	2865	183696	EH23a.chr1
I75.000277F	2675	85201	EH23a.chr4
I75.000019F	3829	12530537	EH23a.chr4
I75.000225F	2812	205099	EH23a.chr5
I75.000123F	3293	2120997	EH23a.chr6
I75.000253F	2681	153197	EH23a.chr7
I75.000086F	3255	3403463	EH23a.chr1
I75.000014F	3541	14655009	EH23a.chr2
I75.000101F	3121	2767813	EH23a.chr8
I75.000213F	2646	293093	EH23a.chr4
I75.000247F	2441	123379	EH23a.chr3
I75.000005F	2970	1673601	EH23a.chr3
I75.000136F	2935	1558456	EH23a.chr5
I75.000169F	2821	948690	EH23a.chr5
I75.000144F	2892	1369263	EH23a.chr6
I75.000085F	3073	3511748	EH23a.chr6
I75.000250F	2300	121771	EH23a.chr8
I75.000192F	2574	530207	EH23a.chr6
I75.000281F	2119	55614	EH23a.chr9
I75.000048F	2940	6887482	EH23a.chr5
I75.000071F	2860	4532525	EH23a.chr6
I75.000188F	2435	551054	EH23a.chr1
I75.000181F	2458	741914	EH23a.chr3
I75.000012F	2930	15312088	EH23a.chr6
I75.000223F	2176	222588	EH23a.chr4
I75.000114F	2460	1159443	EH23a.chr1
I75.000235F	2109	166521	EH23a.chr5
I75.000145F	2468	1372544	EH23a.chr4
I75.000148F	2449	1256563	EH23a.chr8
I75.000152F	2431	1167760	EH23a.chr5
I75.000060F	2651	5342798	EH23a.chr5
I75.000259F	2040	153394	EH23a.chr4
I75.000203F	2157	392348	EH23a.chr7
I75.000254F	1983	148642	EH23a.chr1
I75.000270F	1917	106454	EH23a.chrX
I75.000105F	2440	2586637	EH23a.chr1
I75.000182F	2219	683144	EH23a.chr1
I75.000029F	2646	10051305	EH23a.chr1
I75.000006F	2783	23868854	EH23a.chr5
I75.000264F	1884	111645	EH23a.chr2
I75.000275F	1890	116725	EH23a.chr6
I75.000008F	2693	20563696	EH23a.chr7
I75.000229F	1943	195764	EH23a.chr6
I75.000091F	2372	3131949	EH23a.chr1
I75.000217F	1970	257900	EH23a.chr5
I75.000107F	2320	2596836	EH23a.chr8
I75.000030F	2497	9747803	EH23a.chr4
I75.000069F	2381	4676275	EH23a.chr1
I75.000234F	1886	192434	EH23a.chrX
I75.000055F	2245	2344070	EH23a.chr1
I75.000142F	2162	1380140	EH23a.chr8
I75.000122F	2231	2221991	EH23a.chr4
I75.000141F	2156	1393264	EH23a.chr5
I75.000023F	1796	133231	EH23a.chr2
I75.000027F	2405	8480477	EH23a.chr4
I75.000178F	2032	765192	EH23a.chr4
I75.000220F	1832	236273	EH23a.chr5
I75.000214F	1854	288321	EH23a.chr5
I75.000177F	1947	775916	EH23a.chr8
I75.000066F	1833	486360	EH23a.chr5
I75.000017F	2258	12923681	EH23a.chr8
I75.000162F	1889	1058226	EH23a.chr4
I75.000276F	1526	92314	EH23a.chr3
I75.000124F	1932	2086121	EH23a.chr5
I75.000228F	1596	197848	EH23a.chr1
I75.000273F	1483	125670	EH23a.chr5
I75.000108F	1857	2595991	EH23a.chr8
I75.000103F	1840	2733536	EH23a.chr4
I75.000109F	1832	2663197	EH23a.chr8
I75.000028F	2002	10840344	EH23a.chr5
I75.000129F	1782	1993037	EH23a.chr5
I75.000175F	1672	827558	EH23a.chr1
I75.000102F	1791	2703888	EH23a.chr4
I75.000111F	1753	2556478	EH23a.chr4
I75.000219F	1456	222674	EH23a.chr5
I75.000133F	1694	1716885	EH23a.chr6
I75.000157F	1604	1137595	EH23a.chr5
I75.000272F	1325	105992	EH23a.chr4
I75.000042F	1816	7728032	EH23a.chr5
I75.000204F	1466	372147	EH23a.chr2
I75.000053F	1769	6043949	EH23a.chr1
I75.000047F	1762	7209961	EH23a.chr4
I75.000221F	1374	256147	EH23a.chr1
I75.000032F	1735	9016757	EH23a.chr8
I75.000024F	1747	11352193	EH23a.chr7
I75.000068F	1633	4679459	EH23a.chr5
I75.000044F	1582	3122033	EH23a.chr8
I75.000092F	1559	3092774	EH23a.chr8
I75.000135F	1484	1613161	EH23a.chr5
I75.000208F	1308	314832	EH23a.chr9
I75.000161F	1421	1036924	EH23a.chr5
I75.000282F	1071	36128	EH23a.chrX
I75.000151F	1414	1225633	EH23a.chr1
I75.000083F	1504	3761313	EH23a.chr4
I75.000150F	1384	1222589	EH23a.chr1
I75.000116F	1431	2349293	EH23a.chr1
I75.000199F	1255	395207	EH23a.chr4
I75.000064F	1495	5044329	EH23a.chr6
I75.000164F	1336	990833	EH23a.chrX
I75.000166F	1329	957695	EH23a.chr8
I75.000119F	1283	783727	EH23a.chr1
I75.000200F	1196	389295	EH23a.chr6
I75.000233F	1117	168810	EH23a.chr6
I75.000237F	1108	178775	EH23a.chr5
I75.000021F	1051	108829	EH23a.chr7
I75.000033F	1436	8749424	EH23a.chr8
I75.000205F	1147	352621	EH23a.chr4
I75.000106F	1308	2669931	EH23a.chr4
I75.000190F	1167	556839	EH23a.chr4
I75.000174F	1203	852185	EH23a.chr4
I75.000054F	1368	5827612	EH23a.chr2
I75.000059F	1354	5414784	EH23a.chr6
I75.000153F	1216	1221174	EH23a.chr4
I75.000184F	1160	661711	EH23a.chr8
I75.000118F	1265	2277877	EH23a.chr2
I75.000049F	1322	6777365	EH23a.chr4
I75.000121F	1228	2231173	EH23a.chr8
I75.000093F	1233	3095573	EH23a.chr8
I75.000159F	1113	1083309	EH23a.chr5
I75.294	901	81703	EH23a.chrX
I75.000140F	1123	1401071	EH23a.chr5
I75.000243F	926	153441	EH23a.chr5
I75.000058F	1203	5537652	EH23a.chr1
I75.000041F	1215	7870419	EH23a.chr5
I75.000002F	1317	32712771	EH23a.chr2
I75.296	882	108222	EH23a.chr3
I75.000126F	1084	2085650	EH23a.chr6
I75.000098F	1097	2765352	EH23a.chr2
