contig	kmers_bp	total_bp	chrom
SSA1.00000181	6153	9436445	EH23a.chr2
SSA1.00002057	3524	1144083	EH23a.chr6
SSA1.00000188	710	29971	EH23a.chr2
SSA1.00000674	256	4711388	EH23a.chrX
SSA1.00000583	96	5340964	EH23a.chr2
SSA1.00000017	62	22952009	EH23a.chr2
SSA1.00003588	31	21969	EH23a.chr9
SSA1.00001127	31	48445	EH23a.chr8
SSA1.00002965	31	179293	EH23a.chr6
SSA1.00002892	31	291760	EH23a.chr1
SSA1.00001772	31	1659604	EH23a.chrX
SSA1.00001688	31	1864529	EH23a.chr6
SSA1.00001603	31	2104749	EH23a.chr8
SSA1.00001480	31	2376711	EH23a.chr1
SSA1.00001293	31	2574138	EH23a.chrX
SSA1.00000919	31	4044991	EH23a.chr7
SSA1.00000757	31	4481499	EH23a.chr1
SSA1.00000510	31	5355035	EH23a.chr2
SSA1.00000440	31	5560264	EH23a.chr2
