contig	kmers_bp	total_bp	chrom
BH4.00000009	49904	22904760	EH23a.chr7
BH4.00001156	26365	13496651	EH23a.chr6
BH4.00004418	22683	3884562	EH23a.chrX
BH4.00004188	19044	4040692	EH23a.chr9
BH4.00002495	19216	7026100	EH23a.chrX
BH4.00005383	16769	2861496	EH23a.chrX
BH4.00001048	17130	13966321	EH23a.chr6
BH4.00003944	14918	4468500	EH23a.chr4
BH4.00006393	10826	973743	EH23a.chr7
BH4.00001544	11271	4015596	EH23a.chr7
BH4.00002254	10419	3177495	EH23a.chr8
BH4.00002908	9786	1494560	EH23a.chr4
BH4.00002623	10343	5496303	EH23a.chr7
BH4.00001614	9341	4792141	EH23a.chr7
BH4.00003258	6680	2251442	EH23a.chr7
BH4.00002929	6592	1940221	EH23a.chr7
BH4.00003641	6939	5061258	EH23a.chr9
BH4.00003164	6622	5558515	EH23a.chrX
BH4.00005079	6029	3245269	EH23a.chrX
BH4.00002402	5632	1924444	EH23a.chr7
BH4.00002643	5066	1016084	EH23a.chrX
BH4.00003956	4944	1377430	EH23a.chr4
BH4.00006735	3174	14851	EH23a.chrX
BH4.00006936	4438	989493	EH23a.chrX
BH4.00001600	5102	9592095	EH23a.chrX
BH4.00000326	5232	17416865	EH23a.chrX
BH4.00001759	4976	9176963	EH23a.chr6
BH4.00000075	4280	2125796	EH23a.chr7
BH4.00001155	4080	6394005	EH23a.chr7
BH4.00002844	3618	1632527	EH23a.chrX
BH4.00007586	2752	355006	EH23a.chrX
BH4.00002910	2676	558763	EH23a.chr6
BH4.00001961	2704	1799107	EH23a.chr6
BH4.00008029	2108	102772	EH23a.chrX
BH4.00002913	2709	4850411	EH23a.chr1
BH4.00006791	1854	41148	EH23a.chr1
BH4.00003610	1656	36405	EH23a.chr1
BH4.00003340	1674	55064	EH23a.chr6
BH4.00005590	1654	56387	EH23a.chr2
BH4.00015532	1653	59775	EH23a.chrX
BH4.00001315	1535	33317	EH23a.chrX
BH4.00001071	1537	33910	EH23a.chr6
BH4.00005130	1925	614322	EH23a.chr5
BH4.00001632	1514	39865	EH23a.chrX
BH4.00001754	1986	1787307	EH23a.chrX
BH4.00006390	1435	42383	EH23a.chr1
BH4.00007874	1567	123916	EH23a.chrX
BH4.00006784	1392	41730	EH23a.chr4
BH4.00006226	1326	32629	EH23a.chr6
BH4.00012922	1294	28184	EH23a.chr1
BH4.00002252	1805	1712209	EH23a.chr7
